"Description","running time","beam size","alpha","L-1","L-2","L-3","L-4","L-5","L-6","L-7","L-8","L-9","L-10","L-11","L-12","L-13","L-14","L-15","L-16","L-17","L-18","L-19","L-20","score"
"alpha",,,,,,,,,,,,,,,,,,,,,,,,
"Weighted Heuristics .00",1000,100,0,0.85,0.68,0.6,0.7,0.82,0.45,0.65,0.75,0.85,0.05,0.85,0.75,0.68,0.77,0.85,0.93,0.68,0.35,0.65,0.65,
"Weighted Heuristics .01",1000,100,0.01,0.85,0.8,0.7,0.7,0.82,0.5,0.62,0.93,0.8,0.77,0.82,0.6,0.73,0.68,0.85,0.88,0.68,0.65,0.68,0.68,
"Weighted Heuristics .02",1000,100,0.02,0.85,0.8,0.7,0.7,0.82,0.55,0.62,0.93,0.8,0.77,0.82,0.6,0.73,0.68,0.85,0.88,0.68,0.73,0.68,0.68,
"Weighted Heuristics .03",1000,100,0.03,0.85,0.8,0.7,0.7,0.82,0.57,0.62,0.93,0.8,0.77,0.82,0.6,0.73,0.68,0.85,0.88,0.68,0.73,0.68,0.68,
"Weighted Heuristics .04",1000,100,0.04,0.85,0.8,0.7,0.7,0.82,0.5,0.62,0.93,0.8,0.77,0.82,0.6,0.73,0.68,0.85,0.88,0.68,0.73,0.68,0.68,
"Weighted Heuristics .05",1000,100,0.05,0.85,0.8,0.7,0.7,0.82,0.62,0.62,0.93,0.8,0.77,0.82,0.6,0.73,0.68,0.85,0.88,0.68,0.73,0.68,0.68,
"Weighted Heuristics .06",1000,100,0.06,0.85,0.8,0.7,0.7,0.82,0.5,0.62,0.93,0.8,0.77,0.82,0.6,0.73,0.68,0.85,0.88,0.68,0.73,0.68,0.68,
"Weighted Heuristics .07",1000,100,0.07,0.85,0.8,0.7,0.7,0.82,0.55,0.62,0.93,0.8,0.77,0.82,0.6,0.73,0.68,0.85,0.88,0.68,0.73,0.68,0.68,
"Weighted Heuristics .08",1000,100,0.08,0.85,0.8,0.7,0.7,0.82,0.57,0.62,0.93,0.8,0.77,0.82,0.6,0.73,0.68,0.85,0.88,0.68,0.73,0.68,0.68,
"Weighted Heuristics .09",1000,100,0.09,0.85,0.8,0.7,0.7,0.82,0.55,0.57,0.93,0.8,0.77,0.82,0.6,0.73,0.68,0.85,0.88,0.68,0.73,0.68,0.68,
"Weighted Heuristics .10",1000,100,0.1,0.85,0.73,0.7,0.7,0.82,0.57,0.62,0.93,0.8,0.77,0.82,0.6,0.73,0.68,0.85,0.88,0.68,0.73,0.68,0.68,
